yyyyymmdd,count_distinct_urls,count_distinct_urls_normalized,sum_numMentions,sum_numMentions_normalized,avg_Salience,avgSalience_normalized
20/04/2022,23002,10,42202,9,0.008627158,2
21/04/2022,22559,10,43441,9,0.009144898,4
22/04/2022,21520,9,41353,9,0.008904379,3
23/04/2022,15902,8,29253,8,0.008946728,3
24/04/2022,14009,8,26163,8,0.008096339,1
25/04/2022,20117,9,39018,9,0.009551214,7
26/04/2022,23059,10,45167,10,0.010033749,9
27/04/2022,22542,10,41955,9,0.00908912,4
28/04/2022,22291,10,41749,9,0.008542613,1
29/04/2022,22078,9,46962,10,0.008845556,2
30/04/2022,16185,8,31114,8,0.0087384,2
01/05/2022,14752,8,29359,8,0.00923832,5
02/05/2022,18887,9,36081,9,0.010691773,10
03/05/2022,22653,10,42651,9,0.008824178,2
04/05/2022,22356,10,42439,9,0.010401485,10
05/05/2022,22226,10,41248,9,0.009179423,4
06/05/2022,22088,9,42012,9,0.009292634,5
07/05/2022,14765,8,28164,8,0.008781819,2
08/05/2022,14641,8,29231,8,0.008985381,3
09/05/2022,21182,9,40929,9,0.009300529,5
10/05/2022,21876,9,42733,9,0.009529671,7
11/05/2022,22729,10,45956,10,0.00900306,3
12/05/2022,22995,10,43742,10,0.009136842,4
13/05/2022,22991,10,45905,10,0.008958137,3
14/05/2022,16780,8,34455,9,0.00917475,4
15/05/2022,16733,8,33651,8,0.00899377,3
16/05/2022,24077,10,47958,10,0.008569927,1
17/05/2022,23834,10,46082,10,0.009126194,4
18/05/2022,23180,10,43060,9,0.009263134,5
19/05/2022,23978,10,46236,10,0.009066303,4
20/05/2022,21499,9,40931,9,0.009408452,6
21/05/2022,13998,8,27266,8,0.0093648,6
22/05/2022,12675,7,23780,7,0.008794784,2
23/05/2022,20739,9,38450,9,0.008922682,3
24/05/2022,22191,10,43030,9,0.009266816,5
25/05/2022,25467,10,51593,10,0.00848281,1
26/05/2022,24598,10,45514,10,0.00858086,1
27/05/2022,21607,9,43968,10,0.007990401,1
28/05/2022,14374,8,27867,8,0.008906277,3
29/05/2022,12801,7,23728,7,0.008540678,1
30/05/2022,16513,8,30199,8,0.009177051,4
31/05/2022,20144,9,37833,9,0.010058887,9
01/06/2022,21983,9,39946,9,0.008521116,1
02/06/2022,21697,9,39076,9,0.00857117,1
03/06/2022,19953,9,38426,9,0.008828276,2
04/06/2022,14379,8,26833,8,0.008850425,2
05/06/2022,12273,7,23898,7,0.009352334,6
06/06/2022,18987,9,37153,9,0.009470564,6
07/06/2022,20244,9,36022,9,0.009483825,7
08/06/2022,21667,9,37992,9,0.008581706,1
09/06/2022,21770,9,42631,9,0.009095421,4
10/06/2022,21873,9,44858,10,0.010188958,9
11/06/2022,14982,8,27127,8,0.008881057,2
12/06/2022,13108,8,25168,7,0.00754388,1
13/06/2022,19069,9,34883,9,0.009345467,6
14/06/2022,20144,9,35961,9,0.00849314,1
15/06/2022,19990,9,37153,9,0.008463083,1
16/06/2022,21036,9,38472,9,0.008214727,1
17/06/2022,20634,9,37693,9,0.00836312,1
18/06/2022,9989,3,18860,4,0.008442339,1
